"id","date","shop","gruppa","name","characteristic","quantity","item","price","amount","id_store"
"118","2017-09-10","СтройМир на Пугачёва","Расходники","Шайба","DIN9021 цинк увеличенная d=4mm.","20","шт.","0.20","4.00","66"
"119","2017-09-10","СтройМир на Пугачёва","Расходники","Шайба","DIN9021 цинк увеличенная d=5mm.","20","шт.","0.30","6.00","66"
"120","2017-09-10","СтройМир на Пугачёва","Расходники","Шайба","DIN9021 цинк увеличенная d=6mm.","20","шт.","1.00","12.00","66"
"121","2017-09-10","СтройМир на Пугачёва","Расходники","Винт","DIN7985 М4 х 10мм., полусфера","20","шт.","1.00","10.00","66"
"122","2017-09-10","СтройМир на Пугачёва","Расходники","Винт","DIN7985 М4 х 8мм., полусфера","12","шт.","1.00","6.00","66"
"123","2017-09-10","СтройМир на Пугачёва","Расходники","Винт","DIN7985 М5 х 10мм., полусфера","12","шт.","1.00","12.00","66"
"124","2017-09-10","СтройМир на Пугачёва","Расходники","Винт","DIN7985 М5 х 30мм., полусфера","10","шт.","2.00","15.00","66"
"125","2017-09-10","СтройМир на Пугачёва","Расходники","Винт","DIN7985 М5 х 40мм., полусфера","10","шт.","2.00","15.00","66"
"126","2017-09-10","СтройМир на Пугачёва","Расходники","Винт","М5 х 100мм., потай","20","шт.","3.00","60.00","66"
"127","2017-10-06","Окна Абсолют","Стройматериалы","Дверь","входная стеклопластиковая, белая VEKA Euroline ","1","шт.","13220.00","13220.00","94"
"128","2018-05-30","СтройБери","Лакокрасочные","Лак","яхтный глянцевый 2,7кг. РадугаМалер","1","шт.","720.00","720.00","73"
"129","2018-05-30","СтройБери","Лакокрасочные","Краска","эмаль ПФ-266 для пола золотистая 5,0кг. FARBITEX","1","шт.","630.00","630.00","73"
"130","2018-05-30","СтройБери","Химия","Антисептик","ХМФ-221, 5л.","1","шт.","305.00","305.00","73"
"131","2018-05-30","СтройБери","Инструмент","Сверло","перовое D=16мм. х 152мм.","1","шт.","60.00","60.00","73"
"132","2018-05-30","СтройБери","Инструмент","Сверло","перовое D=18мм. х 152мм.","1","шт.","60.00","60.00","73"
"133","2018-05-30","СтройБери","Инструмент","Сверло","перовое D=20мм. х 152мм.","1","шт.","65.00","65.00","73"
"134","2018-05-30","СтройБери","Инструмент","Сверло","перовое D=22мм. х 152мм.","1","шт.","75.00","75.00","73"
"135","2018-05-04","СтройМир на Пугачёва","Расходники","Муфта","PPRC полипропиленовая d=20мм.","3","шт.","4.00","12.00","66"
"136","2018-05-04","СтройМир на Пугачёва","Расходники","Пробка","PPRC полипропиленовая d=20мм.","1","шт.","4.00","4.00","66"
"137","2018-05-04","СтройМир на Пугачёва","Сантехника","Угол","ПП 45*20мм., белый","3","шт.","6.00","18.00","66"
"138","2018-05-04","СтройМир на Пугачёва","Сантехника","Угол","ПП 90*20мм., белый","1","шт.","5.00","5.00","66"
"139","2018-05-04","СтройМир на Пугачёва","Сантехника","Труба","канализационная d=110 х 2,2мм. х 1,0м. ","1","шт.","155.00","155.00","66"
"140","2018-05-04","СтройМир на Пугачёва","Сантехника","Труба","канализационная d=110 х 2,2мм. х 2,0м. ","1","шт.","295.00","295.00","66"
"141","2018-05-04","СтройМир на Пугачёва","Сантехника","Отвод","d=110мм. х 90град. ","1","шт.","60.00","60.00","66"
"142","2018-05-04","СтройМир на Пугачёва","Сантехника","Труба","PPRC полипропиленовая d=20мм., PN20, 4м.","1","шт.","145.00","145.00","66"
"143","2018-05-04","СтройМир на Чиркова","Лакокрасочные","Лак","яхтный глянцевый 10л. Престиж","1","шт.","2734.00","2734.00","67"
"144","2018-05-04","СтройМир на Чиркова","Стройматериалы","Ручка","дверная деревянная РС-140Д","3","шт.","69.00","206.00","67"
"145","2018-05-04","СтройМир на Пугачёва","Расходники","Гвозди","финишные 35 х 1,8мм. цинк (1кг.)","1","шт.","180.00","180.00","66"
"146","2018-05-04","СтройМир на Пугачёва","Расходники","Пластина","крепёжная 40 х 140 х 2,0мм.","10","шт.","14.00","140.00","66"
"147","2017-09-21","СтройБери","Химия","Клей","герметик Момент-монтаж один для всего, 290мл., прозрачный","1","шт.","485.00","485.00","73"
"148","2018-05-04","Тёплый Дом Котлас","Стройматериалы","Джут","межвенцовый 100 х 5мм. х 20м. (рулон)","2","шт.","240.00","240.00","78"
"149","2017-12-16","Инструмент","Инструмент","Фреза","пазовая, 2 лезвия d=8мм., l=25,4мм., HM 2608628372 Bosch","1","шт.","430.00","430.00","32"
"150","2018-03-31","СтройБери","Расходники","Саморезы","3,8 х 51мм. редкая резьба","1","кг.","220.00","220.00","73"
"151","2018-03-31","СтройБери","Расходники","Саморезы","3,8 х 75мм., редкая резьба","1","кг.","220.00","220.00","73"
"152","2018-03-31","СтройБери","Расходники","Гвозди","финишные 40 х 1,8мм. цинк (0,22кг.)","1","кг.","175.00","175.00","73"
"153","2018-03-31","СтройБери","Расходники","Гвозди","финишные 50 х 1,8мм. цинк (0,24кг.)","1","кг.","175.00","175.00","73"
"154","2018-03-31","СтройБери","Расходники","Кляймер","крепёж для вагонки, панелей, №4","7","шт.","50.00","350.00","73"
"155","2018-05-21","ИП Хамцев","Дерево","Доска","Евровагонка В 1/с 12,5см*88см*1,8м","360","шт.","25.00","8880.00","35"
"156","2018-05-11","СтройБери","Сантехника","Труба","канализационная d=110 х 2,2мм. х 3,0м. ","1","шт.","450.00","450.00","73"
"157","2018-05-11","СтройБери","Стройматериалы","Хомут","пласт.","3","шт.","22.00","66.00","73"
"158","2018-05-21","Реал Маркет Коряжма","Химия","Пена","монтажная Tytan Professional 65, 750мл.","2","шт.","439.00","878.00","1"
"159","2018-05-21","Реал Маркет Коряжма","Химия","Растворитель","646 Ясхим 1л.","1","л.","119.00","119.00","1"
"160","2018-05-19","СтройБери","Лакокрасочные","Краска","эмаль ПФ-115 светло-голубая STATUS, 20кг.","2","шт.","2000.00","2000.00","73"
"161","2018-05-19","СтройБери","Лакокрасочные","Краска","эмаль ПФ-266 для пола золотистая 5,0кг. FARBITEX","1","шт.","630.00","630.00","73"
"162","2018-05-19","СтройБери","Лакокрасочные","Кисть","плоская с деревянной лакированной ручкой №2,5 63мм., Петрович","1","шт.","50.00","50.00","73"
"163","2018-05-19","СтройБери","Лакокрасочные","Кисть","плоская с деревянной лакированной ручкой №2,0 50мм., Петрович","1","шт.","30.00","30.00","73"
"164","2018-05-19","СтройБери","Лакокрасочные","Кисть","плоская с деревянной лакированной ручкой №1,5 38мм., Петрович","1","шт.","25.00","25.00","73"
"165","2018-05-19","СтройБери","Лакокрасочные","Кисть","плоская Стандарт №1,0 25мм.","1","шт.","20.00","20.00","73"
"166","2018-05-15","Ёлки-палки","Дерево","Доска","Евровагонка С 2/с 12,5см*88см*2,0м","20","шт.","23.00","460.00","25"
"167","2018-05-15","Ёлки-палки","Дерево","Доска","Евровагонка А в/с 12,5см*88см*1,8м","10","шт.","30.00","296.00","25"
"168","2018-05-15","Ёлки-палки","Дерево","Доска","Евровагонка В 1/с 12,5см*88см*1,8м","80","шт.","30.00","2368.00","25"
"169","2018-05-15","Ёлки-палки","Дерево","Доска","Евровагонка В 1/с 12,5см*88см*2,1м","20","шт.","47.00","940.00","25"
"170","2018-05-15","Ёлки-палки","Дерево","Доска","Евровагонка В 1/с 12,5см*88см*2,0м","50","шт.","45.00","2230.00","25"
