Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),timeStart (s),timeStartUTC (s),GPSLatitude (deg),GPSLongitude (deg),GPSHeight (m),GPSSat (),Temp (*C),Pressure (Pa),Heigh BME (m),Vbat (V),FR1 (%),FR2 (%),1 (),2 (),Vel (m/s),ALx (g),ALy (g),ALz (g),Agx (deg/s),Agy (deg/s),Agz (deg/s),MagX (Gauss),MagY (Gauss),MagZ (Gauss),TimeNRF (ms),TimeFR (ms),TimeVbat (ms),TimeBME280 (ms),TimeLSM6DSL (ms),TimeLIS3MDL (ms),TimeSdData (ms),quat (Gauss),quat1 (),quat2 (),quat3 (),quatGyro ()
41,1657110690201,3637004,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.0000000,-0.0351562,0.0351562,1.0366211,0.1220703,-4.8828125,3.6621094,0.0791016,0.3715820,0.4423828,15.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0541755,0.1910962,0.8900074,0.0000000
42,1657110690210,3637013,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.0000000,-0.0346680,0.0410156,1.0400391,2.2583008,-2.7465820,-2.3803711,0.0791016,0.3720703,0.4414062,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0541537,0.1910701,0.8900179,0.0000000
43,1657110690220,3637023,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.0000000,-0.0361328,0.0458984,1.0405273,1.3427734,-4.6386719,-0.7324219,0.0795898,0.3725586,0.4428711,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0541393,0.1910221,0.8900214,0.0000000
44,1657110690230,3637033,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.0000000,-0.0288086,0.0385742,1.0395508,3.1127930,-3.1738281,-0.6103516,0.0795898,0.3730469,0.4433594,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0541064,0.1909886,0.8900244,0.0000000
45,1657110690240,3637043,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.0000000,-0.0239258,0.0410156,1.0395508,2.8686523,-3.3569336,-0.0610352,0.0800781,0.3740234,0.4428711,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0540761,0.1909531,0.8900247,0.0000000
46,1657110690256,3637059,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.0000000,-0.0307617,0.0424805,1.0415039,2.1362305,-3.8452148,0.1220703,0.0805664,0.3735352,0.4433594,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0540399,0.1908883,0.8900237,0.0000000
47,1657110690266,3637069,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100045.0000000,3.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.1187126,-0.0278320,0.0483398,1.0390625,3.7841797,-4.5776367,1.2817383,0.0795898,0.3730469,0.4438477,14.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,28.0000000,0.0000000,0.0539995,0.1908402,0.8900175,0.0000000
48,1657110690276,3637079,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100045.0000000,3.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.1187126,-0.0307617,0.0449219,1.0424805,1.7700195,-3.4790039,0.4272461,0.0786133,0.3720703,0.4443359,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0539809,0.1908036,0.8900154,0.0000000
49,1657110690286,3637089,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100045.0000000,3.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.1187126,-0.0317383,0.0385742,1.0429688,2.4414062,-4.0283203,-0.9765625,0.0786133,0.3725586,0.4438477,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0539549,0.1907618,0.8900201,0.0000000
50,1657110690313,3637116,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100045.0000000,3.0000000,3.20000,92.79000,86.45000,37.00000,0.00000,0.1187126,-0.0278320,0.0380859,1.0439453,2.9296875,-3.9062500,0.1831055,0.0795898,0.3725586,0.4438477,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0538709,0.1906521,0.8900177,0.0000000
51,1657110690333,3637136,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100045.0000000,3.0000000,3.20000,91.69000,91.19000,37.00000,0.00000,0.1187126,-0.0341797,0.0429688,1.0444336,3.5400391,-9.0942383,-9.5214844,0.0781250,0.3735352,0.4423828,16.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0537954,0.1904618,0.8901102,0.0000000
52,1657110690343,3637146,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100045.0000000,3.0000000,3.20000,91.69000,91.19000,37.00000,0.00000,0.1187126,-0.0268555,0.0429688,1.0419922,2.6855469,-5.3710938,4.5166016,0.0776367,0.3730469,0.4428711,16.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,28.0000000,0.0000000,0.0537667,0.1904054,0.8900883,0.0000000
53,1657110690353,3637156,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100045.0000000,3.0000000,3.20000,91.69000,91.19000,37.00000,0.00000,0.1187126,-0.0273438,0.0463867,1.0415039,1.8310547,-5.3100586,1.5869141,0.0771484,0.3725586,0.4428711,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0537470,0.1903500,0.8900806,0.0000000
54,1657110690363,3637166,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100045.0000000,3.0000000,3.20000,91.69000,91.19000,37.00000,0.00000,0.1187126,-0.0288086,0.0424805,1.0375977,1.5258789,-4.8217773,-1.9531250,0.0766602,0.3735352,0.4438477,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0537305,0.1902998,0.8900900,0.0000000
